Dydis;Tipas;Algoritmas;Bandymas;Laikas_mikros;Palyginimai;Sukeitimai
5000;atsitiktiniai;SelectionSort;1;137366;12497500;4991
5000;atsitiktiniai;SelectionSort;2;159838;12497500;4991
5000;atsitiktiniai;SelectionSort;3;161401;12497500;4991
5000;atsitiktiniai;SelectionSort;4;150116;12497500;4991
5000;atsitiktiniai;SelectionSort;5;137228;12497500;4991
5000;atsitiktiniai;MergeSort;1;7208;55200;123616
5000;atsitiktiniai;MergeSort;2;7133;55200;123616
5000;atsitiktiniai;MergeSort;3;7088;55200;123616
5000;atsitiktiniai;MergeSort;4;6971;55200;123616
5000;atsitiktiniai;MergeSort;5;6662;55200;123616
5000;atvirkstiniai;SelectionSort;1;128480;12497500;2500
5000;atvirkstiniai;SelectionSort;2;132118;12497500;2500
5000;atvirkstiniai;SelectionSort;3;140694;12497500;2500
5000;atvirkstiniai;SelectionSort;4;133588;12497500;2500
5000;atvirkstiniai;SelectionSort;5;163141;12497500;2500
5000;atvirkstiniai;MergeSort;1;6891;29804;123616
5000;atvirkstiniai;MergeSort;2;6669;29804;123616
5000;atvirkstiniai;MergeSort;3;9825;29804;123616
5000;atvirkstiniai;MergeSort;4;11333;29804;123616
5000;atvirkstiniai;MergeSort;5;8491;29804;123616
5000;surikiuoti;SelectionSort;1;196842;12497500;0
5000;surikiuoti;SelectionSort;2;181907;12497500;0
5000;surikiuoti;SelectionSort;3;156046;12497500;0
5000;surikiuoti;SelectionSort;4;151881;12497500;0
5000;surikiuoti;SelectionSort;5;163786;12497500;0
5000;surikiuoti;MergeSort;1;7178;32004;123616
5000;surikiuoti;MergeSort;2;7759;32004;123616
5000;surikiuoti;MergeSort;3;7382;32004;123616
5000;surikiuoti;MergeSort;4;7444;32004;123616
5000;surikiuoti;MergeSort;5;7617;32004;123616
10000;atsitiktiniai;SelectionSort;1;640611;49995000;9990
10000;atsitiktiniai;SelectionSort;2;761553;49995000;9990
10000;atsitiktiniai;SelectionSort;3;650059;49995000;9990
10000;atsitiktiniai;SelectionSort;4;604164;49995000;9990
10000;atsitiktiniai;SelectionSort;5;694223;49995000;9990
10000;atsitiktiniai;MergeSort;1;28047;120397;267232
10000;atsitiktiniai;MergeSort;2;31784;120397;267232
10000;atsitiktiniai;MergeSort;3;29577;120397;267232
10000;atsitiktiniai;MergeSort;4;28255;120397;267232
10000;atsitiktiniai;MergeSort;5;34576;120397;267232
10000;atvirkstiniai;SelectionSort;1;646650;49995000;5000
10000;atvirkstiniai;SelectionSort;2;545398;49995000;5000
10000;atvirkstiniai;SelectionSort;3;546497;49995000;5000
10000;atvirkstiniai;SelectionSort;4;557376;49995000;5000
10000;atvirkstiniai;SelectionSort;5;533554;49995000;5000
10000;atvirkstiniai;MergeSort;1;27922;64608;267232
10000;atvirkstiniai;MergeSort;2;27401;64608;267232
10000;atvirkstiniai;MergeSort;3;30557;64608;267232
10000;atvirkstiniai;MergeSort;4;28105;64608;267232
10000;atvirkstiniai;MergeSort;5;29517;64608;267232
10000;surikiuoti;SelectionSort;1;569328;49995000;0
10000;surikiuoti;SelectionSort;2;582305;49995000;0
10000;surikiuoti;SelectionSort;3;553517;49995000;0
10000;surikiuoti;SelectionSort;4;526379;49995000;0
10000;surikiuoti;SelectionSort;5;540473;49995000;0
10000;surikiuoti;MergeSort;1;43746;69008;267232
10000;surikiuoti;MergeSort;2;46452;69008;267232
10000;surikiuoti;MergeSort;3;48175;69008;267232
10000;surikiuoti;MergeSort;4;40540;69008;267232
10000;surikiuoti;MergeSort;5;41285;69008;267232
50000;atsitiktiniai;SelectionSort;1;13124254;1249975000;49987
50000;atsitiktiniai;SelectionSort;2;14567015;1249975000;49987
50000;atsitiktiniai;SelectionSort;3;14780473;1249975000;49987
50000;atsitiktiniai;SelectionSort;4;13535383;1249975000;49987
50000;atsitiktiniai;SelectionSort;5;14091580;1249975000;49987
50000;atsitiktiniai;MergeSort;1;109682;718283;1568928
50000;atsitiktiniai;MergeSort;2;107348;718283;1568928
50000;atsitiktiniai;MergeSort;3;103990;718283;1568928
50000;atsitiktiniai;MergeSort;4;93391;718283;1568928
50000;atsitiktiniai;MergeSort;5;91988;718283;1568928
50000;atvirkstiniai;SelectionSort;1;13705266;1249975000;25000
50000;atvirkstiniai;SelectionSort;2;13425717;1249975000;25000
50000;atvirkstiniai;SelectionSort;3;13907325;1249975000;25000
50000;atvirkstiniai;SelectionSort;4;13687548;1249975000;25000
50000;atvirkstiniai;SelectionSort;5;13780578;1249975000;25000
50000;atvirkstiniai;MergeSort
